"6373","LDO - Electrician","Officer"
"6375","LDO - Electrician","Officer"
"6377","LDO - Electrician","Officer"
"6390","LDO - Air Traffic Control","Officer"
"6393","LDO - Air Traffic Control","Officer"
"6395","LDO - Air Traffic Control","Officer"
"6397","LDO - Air Traffic Control","Officer"
"6400","LDO - Nuclear Power","Officer"
"6403","LDO - Nuclear Power","Officer"
"6405","LDO - Nuclear Power","Officer"
"6407","LDO - Nuclear Power","Officer"
"6410","LDO - Administration","Officer"
"6413","LDO - Administration","Officer"
"6415","LDO - Administration","Officer"
"6417","LDO - Administration","Officer"
"6420","LDO - Information Systems","Officer"
"6423","LDO - Information Systems","Officer"
"6425","LDO - Information Systems","Officer"
"6427","LDO - Information Systems","Officer"
"6430","LDO - Bandmaster","Officer"
"6431","CWO - Bandmaster","Warrant Officer"
"6432","CWO - Bandmaster","Warrant Officer"
"6433","LDO - Bandmaster","Officer"
"6433","CWO - Bandmaster","Warrant Officer"
"6435","LDO - Bandmaster","Officer"
"6435","CWO - Bandmaster","Warrant Officer"
"6437","LDO - Bandmaster","Officer"
"6437","CWO - Bandmaster","Warrant Officer"
"6438","CWO - Bandmaster","Warrant Officer"
"6450","LDO - Intelligence","Officer"
"6453","LDO - Intelligence","Officer"
"6455","LDO - Intelligence","Officer"
"6457","LDO - Intelligence","Officer"
"6460","LDO - Meteorology/Oceanography","Officer"
"6463","LDO - Meteorology/Oceanography","Officer"
"6465","LDO - Meteorology/Oceanography","Officer"
"6467","LDO - Meteorology/Oceanography","Officer"
"6470","LDO - Photography","Officer"
"6473","LDO - Photography","Officer"
"6475","LDO - Photography","Officer"
"6477","LDO - Photography","Officer"
"6480","LDO - Explosive Ordnance Disposal","Officer"
"6483","LDO - Explosive Ordnance Disposal","Officer"
"6485","LDO - Explosive Ordnance Disposal","Officer"
"6487","LDO - Explosive Ordnance Disposal","Officer"
"6490","LDO - Security","Officer"
"6493","LDO - Security","Officer"
"6495","LDO - Security","Officer"
"6497","LDO - Security","Officer"
"6520","LDO - Supply Corps - Mess Management","Officer"
"6523","LDO - Supply Corps - Mess Management","Officer"
"6525","LDO - Supply Corps - Mess Management","Officer"
"6527","LDO - Supply Corps - Mess Management","Officer"
"6530","LDO - Civil Engineer Corps","Officer"
"6533","LDO - Civil Engineer Corps","Officer"
"6535","LDO - Civil Engineer Corps","Officer"
"6537","LDO - Civil Engineer Corps","Officer"
"6550","LDO - Judge Advocate General Corps","Officer"
"6553","LDO - Judge Advocate General Corps","Officer"
"6555","LDO - Judge Advocate General Corps","Officer"
"6557","LDO - Judge Advocate General Corps","Officer"
"7111","CWO - Boatswain","Warrant Officer"
"7112","CWO - Boatswain","Warrant Officer"
"7113","CWO - Boatswain","Warrant Officer"
"7115","CWO - Boatswain","Warrant Officer"
"7117","CWO - Boatswain","Warrant Officer"
"7118","CWO - Boatswain","Warrant Officer"
"7121","CWO - Operations Technician","Warrant Officer"
"7122","CWO - Operations Technician","Warrant Officer"
"7123","CWO - Operations Technician","Warrant Officer"
"7125","CWO - Operations Technician","Warrant Officer"
"7127","CWO - Operations Technician","Warrant Officer"
"7128","CWO - Operations Technician","Warrant Officer"
"7131","CWO - Engineering Technician","Warrant Officer"
"7132","CWO - Engineering Technician","Warrant Officer"
"7133","CWO - Engineering Technician","Warrant Officer"
"7135","CWO - Engineering Technician","Warrant Officer"
"7137","CWO - Engineering Technician","Warrant Officer"
"7138","CWO - Engineering Technician","Warrant Officer"
"7141","CWO - Surface Repair Technician","Warrant Officer"
"7142","CWO - Surface Repair Technician","Warrant Officer"
"7143","CWO - Surface Repair Technician","Warrant Officer"
"7145","CWO - Surface Repair Technician","Warrant Officer"
"7147","CWO - Surface Repair Technician","Warrant Officer"
"7148","CWO - Surface Repair Technician","Warrant Officer"
"7161","CWO - Ordnance Technician","Warrant Officer"
"7162","CWO - Ordnance Technician","Warrant Officer"
"7163","CWO - Ordnance Technician","Warrant Officer"
"7165","CWO - Ordnance Technician","Warrant Officer"
"7167","CWO - Ordnance Technician","Warrant Officer"
"7168","CWO - Ordnance Technician","Warrant Officer"
"7171","CWO - Special Warfare Combatant-Craft","Warrant Officer"
"7172","CWO - Special Warfare Combatant-Craft","Warrant Officer"
"7173","CWO - Special Warfare Combatant-Craft","Warrant Officer"
"7175","CWO - Special Warfare Combatant-Craft","Warrant Officer"
